Volume of exports of major arms by region broken down by suppliers 1990-2023
Figures are in millions of SIPRI trend-indicator values (TIVs).
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For a list of states covered by each region see <https://www.sipri.org/databases/regional-coverage>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Apr 2024 8:20:07 AM

,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1990-2023,% of regional total
,United Kingdom,89,111,87,132,134,250,144,294,56,160,176,27,54,102,114,185,212,57,59,83,72,36,38,73,35,88,39,27,46,81,104,110,184,219,3675,3.3%
,United States,2808,3441,3957,2269,2457,1816,1717,2309,3285,1899,2387,2182,1333,2805,2076,464,1027,1826,1466,1901,1083,862,1091,795,522,871,940,1372,667,1320,1241,1438,2197,2658,60481,54%
,unknown supplier(s),,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0%
ECOWAS,Regional total,64,55,75,53,132,29,26,52,21,23,111,27,47,144,62,41,44,106,50,114,235,174,112,104,285,264,159,142,126,118,191,391,312,390,4280,100%
,Albania,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,0%
,Angola,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,0%
,Australia,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0%
,Austria,,,,,,,,,,,,,,,,,,,1,,,1,2,,,,1,1,,,,,,2,7,0.2%
,Belarus,,,,,,7,,7,,,,,21,15,9,,,,,,7,,,,,,,,2,,,,,,68,1.6%
,Belgium,,,,,,,,,,,,,7,,,,,3,,1,,,,,,,,,,,,,,,11,0.3%
,Brazil,,,,,54,,,,3,,,,,,,,,,,,,14,,,,,,,18,,,54,,,142,3.3%
,Bulgaria,,,,,,,,2,,,0,,5,20,,,,8,3,10,,,7,7,2,5,,10,10,3,3,7,1,,104,2.4%
,Canada,,,,,,,1,,,,,,,,,,,,,1,1,3,2,,10,3,3,,2,2,1,8,3,3,41,1%
,China,,,,,,3,3,17,,,7,2,,,2,,9,14,,12,193,58,,23,69,42,63,33,,,49,101,45,59,801,19%
,Croatia,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10,0.2%
,Czechia,,,,,,,,,,7,,,,,,13,,,,,,,,,3,28,,,,,,,,,50,1.2%
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,0.3%
,Egypt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0.1%
,European Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0%
,France,19,26,,,22,6,,,,2,,,,,,,1,,,,1,9,32,9,22,16,30,16,28,30,13,10,9,121,419,9.8%
,Georgia,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,5,0.1%
,Germany,5,6,7,,,,13,,6,,22,,,,,,,,,,,,24,,3,,3,,,,,,,5,94,2.2%
,India,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.1%
,Indonesia,,,,,,,,,,,,,,,,,,,,,,4,,,,,,9,,,,17,,,30,0.7%
,Israel,,,,,,,,,,,,1,,,0,,,1,,5,,,11,5,1,4,2,1,,11,12,,,26,79,1.8%
,Italy,,,11,2,13,,7,5,,,1,8,,8,11,,6,21,,29,23,6,6,,,,6,,,6,6,6,4,16,198,4.6%
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,0.2%
,Libya,,,,,,,,3,,,,,,,,,,,,,,0,,,,,,,,,,,,,4,0.1%
,Luxembourg,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0%
,Malawi,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0%
,Moldova,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,6,0.1%
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,24,18,,52,1.2%
,Nigeria,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3,0.1%
,Norway,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,13,0.3%
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,53,,,55,1.3%
,Philippines,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,0.1%
,Poland,,,,,,,,7,,,,,,17,,,,,,,0,,,,,,,,,,,,,,24,0.6%
,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,0.1%
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,6,0.1%
,Romania,,4,4,,,,,,,,3,,,24,,,,,,1,,,,,,,,,,,,,,,36,0.8%
,Russia,,,1,7,,,,,,,36,1,2,29,29,26,,12,7,,,1,2,29,58,97,,47,38,24,41,36,90,18,630,15%
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0.1%
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,,,,,,,,25,0.6%
,Singapore,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,36,,65,1.5%
,Slovakia,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,10,,,,,,,16,0.4%
,South Africa,,,,,,7,1,0,,,,,1,8,6,0,15,,5,6,6,3,1,6,18,28,3,1,6,14,2,12,9,,156,3.6%
,South Korea,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,8,,,,13,0.3%
,Soviet Union,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.9%
,Spain,,,,,,,,,,,8,,,,,,,,1,3,,14,13,,,,25,,,13,2,13,26,13,130,3%
,Switzerland,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Taiwan,,,,,,,,,,,,,,,,,,,,16,,,,,,,,2,,,,,,,18,0.4%
,Turkiye,,,,,,,,,,,,,,,,,,8,22,,,,,,,,,,14,2,10,17,44,46,163,3.8%
,UAE,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,7,,,29,2,1,4,46,1.1%
,Ukraine,,,,,6,2,,,4,13,10,6,,0,,,10,32,11,,,,2,11,34,13,,3,,5,,,,,160,3.7%
,United Kingdom,13,1,49,34,30,,,,,,1,1,1,2,,,,,,,,,,,,,0,,,,,,4,,138,3.2%
,United States,0,0,3,4,7,4,2,10,9,,,8,4,12,,,3,2,,,,56,,2,65,16,7,2,5,3,14,32,18,8,296,6.9%
,unknown supplier(s),,1,,,,0,,,,1,9,,5,6,0,2,1,0,,,4,,4,,,,,,,,1,2,3,41,79,1.8%
,Zambia,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0%
Europe,Regional total,7851,6843,6821,5395,5313,3758,4088,4317,5811,4293,3889,4067,2956,5131,4118,3420,5105,7106,4676,4885,4041,3406,2982,2935,2596,3140,3252,3552,2902,3172,3619,4355,8537,10307,158640,100%
,Australia,,,,,,,,,,,,,,6,,,8,2,14,12,,,,,,,1,5,,,,2,16,7,72,0%
,Austria,25,20,20,10,17,,,,1,12,7,2,4,2,2,3,57,59,11,35,42,42,19,14,2,1,12,20,4,1,6,,1,,451,0.3%
,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0%
,Belarus,,,,,,,104,,,,,,,,,20,43,1,1,27,9,51,69,33,33,,,10,37,,,75,,,513,0.3%
,Belgium,,,,,,,,66,,,,,,,,132,,,80,105,2,1,1,21,,1,,,5,,,10,18,21,464,0.3%
,Brazil,46,46,46,19,,38,27,27,,,,,,,,,,,48,,,,,,,,,7,5,,92,,,54,453,0.3%
,Bulgaria,6,42,5,,,,,1,,77,0,10,9,,1,18,5,2,,2,,2,,5,9,,,,,,,,,,194,0.1%
,Canada,20,37,27,28,24,31,41,12,2,51,9,74,14,11,48,48,40,131,18,8,11,16,6,3,3,34,4,3,13,1,1,11,44,177,999,0.6%
,China,24,,,6,6,26,,,,2,,,,,,,,,,,,,,,,,3,14,10,5,7,5,160,3,270,0.2%
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4,39,46,0%
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,0%
,Czechia,,,,4,4,63,38,,8,,6,70,,1,1,33,44,5,0,7,3,10,8,11,5,13,16,20,51,6,14,1,149,73,663,0.4%
,Czechoslovakia,624,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,0.4%
,Denmark,44,,,,3,16,,,,,18,,10,,,,5,,8,8,8,10,1,3,5,8,16,8,18,,,,20,8,216,0.1%
,DR Congo,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0%
,East Germany (GDR),77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0%
,Egypt,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0%
,Estonia,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,9,13,30,0%
,Finland,,12,8,8,6,19,3,1,17,20,11,30,33,29,21,38,53,55,92,60,63,64,70,65,75,18,18,22,39,25,12,15,40,32,1076,0.7%
,France,290,178,555,414,377,214,137,227,177,198,110,217,156,123,97,83,136,997,125,141,181,274,174,290,242,234,139,113,181,74,61,313,323,622,8174,5.2%
,Georgia,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,69,0%
,Germany,661,1416,979,763,1244,445,490,214,743,294,341,212,487,1103,586,523,1102,1456,864,889,1263,132,122,126,418,791,682,410,177,142,177,98,451,1050,20852,13%
,Greece,,,15,10,18,,19,31,9,3,2,2,,6,22,,,,,,,,,,,,,,,,,,7,7,151,0.1%
,Iceland,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0%
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,4,36,0%
,Iran,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,123,120,244,0.2%
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,1,,10,,,,,,,,,11,0%
,Israel,1,1,1,9,9,10,46,21,14,16,24,57,26,30,36,69,57,215,148,109,115,95,121,119,76,173,347,247,313,49,144,162,239,171,3269,2.1%
,Italy,12,79,100,114,94,19,35,2,236,45,34,70,51,164,81,306,183,325,229,130,176,176,193,204,83,130,122,95,34,52,74,75,86,335,4144,2.6%
,Japan,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,0%
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,9,,,30,0%
,Kazakhstan,,,,,,6,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,14,0%
,Kyrgyzstan,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,16,0%
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,17,0%
,Lebanon,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Lithuania,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,12,8,25,0%
,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0%
,Malaysia,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%
,Moldova,,,11,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,23,0%
,Montenegro,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,18,0%
,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,73,94,0.1%
,Netherlands,20,142,144,205,186,164,99,176,201,,3,142,217,262,123,249,742,416,209,227,219,47,148,59,99,77,72,117,67,94,59,13,76,34,5107,3.2%
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,0%
,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,0%
,North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,18,50,0%
,Norway,85,158,68,6,8,17,4,13,3,0,,19,62,79,51,6,14,5,8,40,17,63,30,90,73,92,22,21,14,17,45,29,49,125,1329,0.8%
,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,7,0%
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,0%
,Poland,79,40,40,,,2,48,8,,,1,,,10,8,,,8,,,,,,,1,2,1,7,9,5,0,3,413,499,1181,0.7%
,Portugal,,,,,,,,,,,,,,,,,,,,46,,,,,18,,172,56,,,46,11,2,10,361,0.2%
,Qatar,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,9,0%
,Romania,7,2,8,,5,11,,11,2,19,,,,,,,,,,,,,,216,,,,,,,,,1,1,283,0.2%
,Russia,,,466,1071,293,429,636,200,216,599,324,333,149,84,150,245,164,83,96,54,252,598,345,401,652,303,249,350,194,632,151,128,254,121,10219,6.4%
,Serbia,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,19,20,1,,,46,0%
,Singapore,,,,,,,,23,23,,,,,,,,,,,,20,9,,,,,,,,,,,,,75,0%
,Slovakia,,,,,,,,,1,,,,1,,46,,,16,,,,,,,,,,12,12,,,,71,154,313,0.2%
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,38,2,49,0%
,South Africa,,,,,,,,1,1,1,,,5,5,14,5,17,17,20,22,34,11,25,23,4,2,,,,,,,,,207,0.1%
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,6,142,396,171,111,52,181,592,1651,1%
,Soviet Union,2403,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3025,1.9%
,Spain,6,55,27,,47,,,,27,18,28,,18,52,38,38,448,498,498,510,79,545,47,79,,,,,3,18,181,246,166,118,3786,2.4%
,Sweden,130,107,128,73,70,14,25,6,72,96,120,232,58,174,234,524,364,315,303,192,155,150,188,77,26,42,70,35,50,28,25,18,29,153,4282,2.7%
,Switzerland,22,15,4,,,8,4,34,121,132,6,8,6,5,67,23,61,67,155,27,40,49,40,10,18,26,3,2,93,47,69,95,159,58,1475,0.9%
,Turkiye,,,,,,,,,3,,3,2,,,,,,6,26,28,4,7,23,5,21,27,19,4,6,20,29,17,212,82,545,0.3%
,UAE,,,,,,2,6,37,,,,,,,,,,,,,,,,,,8,,,,,,1,1,,56,0%
,Ukraine,,,,50,25,8,,11,24,22,1,200,10,,24,101,178,363,82,114,56,17,111,191,172,62,112,78,52,,,,,,2062,1.3%
,United Kingdom,291,194,124,195,208,254,150,320,69,160,241,27,55,104,367,474,284,162,59,83,72,76,78,73,35,94,39,27,46,81,104,110,473,365,5493,3.5%
,United States,2980,3622,4045,2407,2617,1963,2076,2847,3835,2516,2597,2352,1510,2865,2099,480,1098,1904,1581,2011,1204,951,1163,817,526,988,1118,1717,1069,1667,2192,2822,4648,5083,73370,46%
,unknown supplier(s),,2,,0,53,,10,1,1,1,4,0,3,,,,,,,,,,,,,4,,,4,,,,,5,89,0.1%
,Uzbekistan,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,0%
,Zimbabwe,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,0%
G5 Sahel,Regional total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,17,66,44,58,64,68,131,110,134,762,100%
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,0.1%
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,18,2.4%
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,3,,,10,1.3%
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,2,2,3,9,1.2%
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,34,8,,25,,27,,17,112,15%
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0.7%
,European Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0%
,France,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,,4,3,10,1,,25,3.3%
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0.1%
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,38,,6,,,,,,4,,48,6.3%
,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,5,0.7%
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,6,0.8%
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,15,12,26,29,41,18,164,22%
,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,0.5%
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,1,4,6,1,8,3,,31,4.1%
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,2,13,14,,40,5.2%
,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,0.3%
,Turkiye,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,13,,,11,30,45,101,13%
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,24,10,,7,50,6.6%
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,20,2.6%
,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0%
,United States,,,,,,,,,,,,,,,,,,,,,,,,,8,9,3,6,1,3,12,16,13,,71,9.3%
,unknown supplier(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,39,39,5.1%
G8 (G6/G7),Regional total,4243,6986,5888,4908,3558,3589,3030,3098,3381,2054,2817,3166,2441,2668,2314,1401,2460,3382,3410,2989,2992,2451,2795,2324,1903,2189,2278,3246,2309,2790,3134,3686,4119,3461,107462,100%
,Australia,,,,,18,24,,,,,,42,30,30,2,,9,34,33,,,96,30,30,61,30,60,60,31,75,150,105,,30,980,0.9%
,Austria,,,,,,,,,,,2,2,,,,,57,57,1,3,1,1,0,,,,,,0,,1,,1,,126,0.1%
,Belgium,,,,,,,,66,,,,,,,,,,,0,3,1,1,1,21,,,,,5,,,64,36,,199,0.2%
,Brazil,46,46,46,19,,38,27,27,,,,,,,,,,,,,,,,,,,,7,5,,92,9,5,,364,0.3%
,Bulgaria,,,,,,,,,,,,,3,7,,,,,,,,,,,6,,,,,,,,,,16,0%
,Canada,9,31,15,23,72,120,5,7,3,0,5,21,112,172,124,124,139,269,154,110,109,156,154,57,11,36,6,3,13,1,1,8,33,63,2167,2%
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,5,5,1,25,0%
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,0%
,Czechia,,,,,,,,,,,,,,,,,,,,,,10,8,5,5,17,28,56,28,,,,,,157,0.1%
,Denmark,,,,183,246,,,,,,,,,,,,5,1,,,,10,,,,,,,,,,,,,444,0.4%
,DR Congo,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0%
,Finland,,,,,,,,,,,,12,12,6,,,12,12,,,,,9,,,,,6,12,6,,,,,87,0.1%
,France,59,59,68,65,51,83,67,60,75,65,56,41,56,44,34,37,71,92,66,170,152,161,172,226,121,131,110,55,28,119,119,91,101,47,2952,2.7%
,Germany,78,160,56,107,37,59,48,15,15,58,79,54,336,335,32,45,339,447,182,205,229,183,216,181,132,204,383,519,108,132,66,40,107,114,5301,4.9%
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,30,0%
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,120,243,0.2%
,Israel,1,39,86,117,63,81,63,63,46,5,76,172,106,94,101,66,64,149,50,33,53,50,81,76,86,94,144,130,113,42,77,198,247,54,2921,2.7%
,Italy,24,129,117,171,62,150,176,168,262,59,16,41,110,78,21,8,5,20,55,84,121,80,98,24,67,22,10,3,3,10,24,71,118,255,2659,2.5%
,Japan,,54,101,122,130,126,165,25,,,,,,,,,,40,,,,,,,,,,,,,,,,,763,0.7%
,Jordan,,,,,36,,,,,,,,,,,,,,,,,,,,,,17,71,,,66,66,51,,306,0.3%
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,14,0%
,Moldova,,,,,,,,217,,,,,,,,,,,,,,12,,,,,,,,,,,,,229,0.2%
,Mujahedin (Afghanistan)*,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Netherlands,38,70,43,18,131,49,97,24,24,,,,,10,100,95,539,211,36,23,65,28,174,143,138,154,137,139,105,155,46,160,82,62,3095,2.9%
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,75,0.1%
,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,0%
,Norway,,71,6,20,33,,,,,3,2,1,3,8,10,,4,50,102,104,144,75,107,50,50,57,14,25,45,15,5,18,18,90,1127,1%
,Peru,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Poland,,,,,,,,,,,,,,,,,,,,8,8,8,17,121,,,,6,,,,,,,168,0.2%
,Russia,,,29,,,,,,,,,,,,,1,1,,,,,,17,,,,,,,,,,,,48,0%
,Saudi Arabia,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,18,0%
,Singapore,,,,,,,,,,,,,,,,,,,,,20,9,,,,,,,,,24,72,,,125,0.1%
,South Africa,,,,,,,1,1,,2,,,,1,15,26,68,76,78,68,117,5,,,,,,,,16,40,40,,,553,0.5%
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,41,,,134,268,134,,,,,577,0.5%
,Spain,8,45,27,,,,,,27,18,18,,18,27,,,,34,51,51,34,43,43,71,51,,,,3,31,201,113,70,8,991,0.9%
,Sweden,,,10,15,35,18,18,,,,2,16,32,35,50,17,15,20,34,40,71,60,94,43,40,45,69,38,71,85,55,61,31,89,1206,1.1%
,Switzerland,161,217,193,41,,,21,21,19,50,75,84,101,124,139,160,162,122,96,105,120,130,111,66,58,57,18,,75,10,,4,24,42,2602,2.4%
,Turkiye,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,16,0%
,Ukraine,,,,,,,,,,,,,,50,,2,,90,,7,24,,105,172,167,52,104,78,52,,,,,,903,0.8%
,United Kingdom,379,361,358,414,421,598,372,440,193,219,613,582,499,221,515,244,284,285,356,309,231,232,254,109,16,37,61,55,79,443,222,222,316,288,10224,9.5%
,United States,3441,5705,4735,3573,2223,2243,1932,1943,2718,1575,1874,2091,1018,1427,1171,577,669,1374,2102,1666,1471,1102,1019,929,852,1233,1117,1829,1257,1511,1944,2340,2753,2188,65602,61%
,unknown supplier(s),,,,20,,,40,,,,,3,6,,,,,,,,22,,9,,,4,,,,,,,,0,104,0.1%
GCC,Regional total,3352,1875,2354,3695,1745,2397,3928,4546,4018,2273,995,371,897,917,2365,2494,2494,1401,1214,1821,1999,2740,2581,4510,4917,5551,5123,6019,5439,6528,4116,5522,9600,4792,114589,100%
,Australia,,,,30,,,,0,4,,,,,,,,,,,,,,,,,,40,,,60,,,,,134,0.1%
,Austria,5,,,,,,,0,11,10,,,,,,,2,2,3,3,17,,,13,11,4,4,,,,,,,,84,0.1%
,Belgium,,,,,,,,,22,13,1,14,14,15,47,,7,,16,,,7,21,21,10,2,3,,,55,24,26,23,8,349,0.3%
,Brazil,29,25,33,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,97,0.1%
,Bulgaria,,,,,,,,,,,,,,18,,,,,,,,,,,,8,1,15,,,,,,,42,0%
,Canada,,,71,71,59,58,57,28,26,24,24,7,5,6,18,,9,13,15,4,2,46,51,43,63,131,28,14,79,181,99,83,86,28,1427,1.2%
,China,,,,7,7,,,,,,35,17,26,41,,,,,36,36,,,,15,15,50,54,121,210,52,52,65,20,15,876,0.8%
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,10,0%
,Egypt,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0%
,Finland,,,,,,,,,,,,,,,,,,,2,,3,,4,5,9,8,13,,,,,,,,43,0%
,France,651,340,168,81,52,172,324,494,581,513,335,164,571,629,1505,795,815,297,50,147,178,305,334,770,308,536,285,363,154,1586,717,734,729,387,16067,14%
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,13,0%
,Germany,164,89,,,8,8,35,28,21,30,21,11,11,5,7,5,47,4,4,7,43,78,79,115,141,85,293,233,186,41,36,30,92,21,1975,1.7%
,Indonesia,,,,18,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,0.1%
,Italy,19,25,10,5,5,15,21,16,,,,9,83,,6,,6,51,20,26,53,48,43,357,23,171,103,71,41,21,16,445,1169,791,3665,3.2%
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,0%
,Libya,,,,,,,,,,,,,,,,,18,,,18,18,,,,,,,,,,,,,,54,0%
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,30,0%
,Malta,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,10,0%
,Netherlands,10,10,,,6,,64,252,235,23,,,,,,,,,,,,13,25,60,42,44,19,84,84,,,10,,25,1002,0.9%
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0%
,Norway,,,,,,,,,,,,,,,,,,,,1,,,,,,1,75,75,,,,5,5,,162,0.1%
,Oman,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0%
,Pakistan,,,,,1,,,,,,,,1,,,5,,,,,,,,,,,,2,,1,,,,,9,0%
,Qatar,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0%
,Romania,,,,16,24,,,,,,,,,,,,8,32,,,,,,,,,,,,,,,,,79,0.1%
,Russia,,,116,138,202,336,110,194,133,68,44,,,,,,,,1,149,360,191,126,126,,48,10,,81,112,80,,,,2624,2.3%
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,20,61,11,0,,,,,,93,0.1%
,Singapore,,,,,9,,,,,,,,,,,,,,,4,4,4,4,4,8,80,77,,,,,,,,192,0.2%
,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,4,,,7,10,,,,25,0%
,South Africa,,21,54,54,9,,28,,,,,,,1,,,19,8,1,2,3,6,2,6,12,27,29,33,30,24,25,23,16,10,443,0.4%
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,9,3,12,26,0%
,Soviet Union,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,0.2%
,Spain,,,,,,,,,,,,,,,,,,,,,,,,25,25,57,70,39,44,63,30,,592,197,1141,1%
,Sweden,20,7,,,,5,11,8,8,,,,,,,,9,9,1,1,43,50,,73,218,66,11,10,3,,80,40,,,669,0.6%
,Switzerland,90,42,53,58,40,46,83,7,,,17,53,,,,,,,,10,40,120,45,,115,195,105,5,15,17,20,10,20,20,1225,1.1%
,Turkiye,,,,,,,,,,21,16,,,,15,23,17,29,37,26,32,36,65,68,66,62,55,27,82,191,194,175,144,107,1489,1.3%
